code,,tasks
29-1141.02,29-1141,"['', 'Direct or provide home health services.', 'Provide routine physical health screenings to detect or monitor problems such as heart disease and diabetes.', 'Participate in treatment team conferences regarding diagnosis or treatment of difficult cases.', 'Teach classes in mental health topics, such as stress reduction.', 'Monitor patients' medication usage and results.', 'Evaluate patients' behavior to formulate diagnoses or assess treatments.', 'Treat patients for routine physical health problems.', 'Occupation-Specific Information', 'Administer medications, including those administered by injection.', 'Participate in activities aimed at professional growth and development, including conferences or continuing education activities.', 'Write prescriptions for psychotropic medications as allowed by state regulations and collaborative practice agreements.', 'Educate patients and family members about mental health and medical conditions, preventive health measures, medications, or treatment plans.', 'Consult with psychiatrists or other professionals when unusual or complex cases are encountered.', 'Document patients' medical and psychological histories, physical assessment results, diagnoses, treatment plans, prescriptions, or outcomes.', 'Collaborate with interdisciplinary team members, including psychiatrists, psychologists, or nursing staff, to develop, implement, or evaluate treatment plans.', 'Diagnose psychiatric disorders and mental health conditions.', 'Interpret diagnostic or laboratory tests, such as electrocardiograms (EKGs) and renal functioning tests.', ' 5 ofAll 24 displayed (Show allShow top 5)', 'Monitor the use and status of medical and pharmaceutical supplies.', 'Conduct individual, group, or family psychotherapy for those with chronic or acute mental disorders.', 'Tasks', 'Assess patients' mental and physical status, based on the presenting symptoms and complaints.', 'Develop, implement, or evaluate programs such as outreach activities, community mental health programs, and crisis situation response activities.', 'Refer patients requiring more specialized or complex treatment to psychiatrists, primary care physicians, or other medical specialists.', 'Develop and implement treatment plans.', 'Distinguish between physiologically- and psychologically-based disorders, and diagnose appropriately.', 'Develop practice protocols for mental health problems, based on review and evaluation of published research.']"
11-2011.00,11-2011,"['', 'Represent company at trade association meetings to promote products.', 'Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.', 'Prepare budgets and submit estimates for program costs as part of campaign plan development.', 'Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.', 'Contact organizations to explain services and facilities offered.', 'Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.', 'Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.', 'Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.', 'Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.', 'Occupation-Specific Information', 'Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.', 'Coordinate with the media to disseminate advertising.', 'Direct and coordinate product research and development.', 'Prepare and negotiate advertising and sales contracts.', 'Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.', 'Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.', 'Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.', 'Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.', 'Plan and execute advertising policies and strategies for organizations.', 'Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.', 'Attend or participate in conferences, community events, and promotional events related to products or technologies.', 'Tasks', 'Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.', ' 5 ofAll 30 displayed (Show allShow top 5)', 'Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.', 'Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.', 'Analyze marketing or sales trends to forecast future conditions.', 'Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.', 'Train and direct workers engaged in developing and producing advertisements.', 'Manage sales team, including setting goals, providing incentives, and evaluating employee performance.', 'Analyze the effectiveness of marketing tactics or channels.', 'Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.', 'Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.']"
41-3011.00,41-3011,"['', 'Determine advertising medium to be used, and prepare sample advertisements within the selected medium for presentation to customers.', 'Prepare promotional plans, sales literature, media kits, and sales contracts, using computer.', 'Maintain assigned account bases while developing new accounts.', 'Locate and contact potential clients to offer advertising services.', 'Write copy as part of layout.', 'Process all correspondence and paperwork related to accounts.', 'Occupation-Specific Information', 'Attend sales meetings, industry trade shows, and training seminars to gather information, promote products, expand network of contacts, and increase knowledge.', 'Write sales outlines for use by staff.', 'Identify new advertising markets, and propose products to serve them.', 'Consult with company officials, sales departments, and advertising agencies to develop promotional plans.', 'Prepare and deliver sales presentations to new and existing customers to sell new advertising programs and to protect and increase existing advertising.', 'Recommend appropriate sizes and formats for advertising, depending on medium used.', 'Draw up contracts for advertising work, and collect payments due.', 'Tasks', 'Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.', 'Explain to customers how specific types of advertising will help promote their products or services in the most effective way possible.', 'Provide clients with estimates of the costs of advertising products or services.', ' 5 ofAll 20 displayed (Show allShow top 5)', 'Arrange for commercial taping sessions, and accompany clients to sessions.', 'Inform customers of available options for advertisement artwork, and provide samples.', 'Deliver advertising or illustration proofs to customers for approval.', 'Gather all relevant material for bid processes, and coordinate bidding and contract approval.']"
17-3021.00,17-3021,"['', 'Design electrical and mechanical systems for avionic instrumentation applications.', 'Occupation-Specific Information', 'Finish vehicle instrumentation and deinstrumentation.', 'Operate and calibrate computer systems and devices to comply with test requirements and to perform data acquisition and analysis.', 'Exchange cooling system components in various vehicles.', 'Inspect, diagnose, maintain, and operate test setups and equipment to detect malfunctions.', 'Construct and maintain test facilities for aircraft parts and systems, according to specifications.', 'Record and interpret test data on parts, assemblies, and mechanisms.', 'Confer with engineering personnel regarding details and implications of test procedures and results.', 'Identify required data, data acquisition plans, and test parameters, setting up equipment to conform to these specifications.', 'Fabricate and install parts and systems to be tested in test equipment, using hand tools, power tools, and test instruments.', 'Test aircraft systems under simulated operational conditions, performing systems readiness tests and pre- and post-operational checkouts, to establish design or fabrication parameters.', 'Adjust, repair, or replace faulty components of test setups and equipment.', 'Tasks', ' 5 ofAll 12 displayed (Show allShow top 5)']"
17-2011.00,17-2011,"['', 'Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment.', 'Formulate conceptual design of aeronautical or aerospace products or systems to meet customer requirements or conform to environmental regulations.', 'Research new materials to determine quality or conformance to environmental standards.', 'Direct aerospace research and development programs.', 'Analyze project requests, proposals, or engineering data to determine feasibility, productibility, cost, or production time of aerospace or aeronautical products.', 'Evaluate and approve selection of vendors by studying past performance or new advertisements.', 'Occupation-Specific Information', 'Evaluate product data or design from inspections or reports for conformance to engineering principles, customer requirements, environmental regulations, or quality standards.', ' 5 ofAll 18 displayed (Show allShow top 5)', 'Develop design criteria for aeronautical or aerospace products or systems, including testing methods, production costs, quality standards, environmental standards, or completion dates.', 'Plan or coordinate investigation and resolution of customers' reports of technical problems with aircraft or aerospace vehicles.', 'Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.', 'Maintain records of performance reports for future reference.', 'Direct or coordinate activities of engineering or technical personnel involved in designing, fabricating, modifying, or testing of aircraft or aerospace products.', 'Tasks', 'Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.', 'Design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions.', 'Design or engineer filtration systems that reduce harmful emissions.', 'Evaluate biofuel performance specifications to determine feasibility for aerospace applications.', 'Review aerospace engineering designs to determine how to reduce negative environmental impacts.', 'Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.']"
13-1011.00,13-1011,"['', 'Schedule promotional or performance engagements for clients.', 'Obtain information about or inspect performance facilities, equipment, and accommodations to ensure that they meet specifications.', 'Keep informed of industry trends and deals.', 'Conduct auditions or interviews to evaluate potential clients.', 'Arrange meetings concerning issues involving their clients.', 'Occupation-Specific Information', 'Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships, or endorsement deals.', 'Hire trainers or coaches to advise clients on performance matters, such as training techniques or performance presentations.', ' 5 ofAll 14 displayed (Show allShow top 5)', 'Prepare periodic accounting statements for clients.', 'Tasks', 'Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.', 'Advise clients on financial and legal matters, such as investments and taxes.', 'Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.', 'Collect fees, commissions, or other payments, according to contract terms.', 'Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.', 'Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.']"
17-2021.00,17-2021,"['', 'Conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.', 'Design structures for crop storage, animal shelter and loading, and animal and crop processing, and supervise their construction.', 'Occupation-Specific Information', 'Meet with clients, such as district or regional councils, farmers, and developers, to discuss their needs.', 'Provide advice on water quality and issues related to pollution management, river control, and ground and surface water resources.', 'Design sensing, measuring, and recording devices, and other instrumentation used to study plant or animal life.', 'Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.', ' 5 ofAll 14 displayed (Show allShow top 5)', 'Visit sites to observe environmental problems, to consult with contractors, or to monitor construction activities.', 'Design food processing plants and related mechanical systems.', 'Plan and direct construction of rural electric-power distribution systems, and irrigation, drainage, and flood control systems for soil and water conservation.', 'Supervise food processing or manufacturing plant operations.', 'Design agricultural machinery components and equipment, using computer-aided design (CAD) technology.', 'Tasks', 'Test agricultural machinery and equipment to ensure adequate performance.', 'Discuss plans with clients, contractors, consultants, and other engineers so that they can be evaluated and necessary changes made.', 'Design and supervise environmental and land reclamation projects in agriculture and related industries.']"
45-2091.00,45-2091,"['', 'Spray fertilizer or pesticide solutions to control insects, fungus and weed growth, and diseases, using hand sprayers.', 'Walk beside or ride on planting machines while inserting plants in planter mechanisms at specified intervals.', 'Occupation-Specific Information', 'Load and unload crops or containers of materials, manually or using conveyors, handtrucks, forklifts, or transfer augers.', 'Weigh crop-filled containers, and record weights and other identifying information.', 'Guide products on conveyors to regulate flow through machines, and to discard diseased or rotten products.', 'Direct and monitor the activities of work crews engaged in planting, weeding, or harvesting activities.', 'Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools.', 'Mix specified materials or chemicals, and dump solutions, powders, or seeds into planter or sprayer machinery.', 'Irrigate soil, using portable pipes or ditch systems, and maintain ditches or pipes and pumps.', ' 5 ofAll 17 displayed (Show allShow top 5)', 'Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions.', 'Operate towed machines such as seed drills or manure spreaders to plant, fertilize, dust, and spray crops.', 'Operate or tend equipment used in agricultural production, such as tractors, combines, and irrigation equipment.', 'Position boxes or attach bags at discharge ends of machinery to catch products, removing and closing full containers.', 'Drive trucks to haul crops, supplies, tools, or farm workers.', 'Tasks', 'Manipulate controls to set, activate, and adjust mechanisms on machinery.', 'Load hoppers, containers, or conveyors to feed machines with products, using forklifts, transfer augers, suction gates, shovels, or pitchforks.', 'Observe and listen to machinery operation to detect equipment malfunctions.']"
45-2011.00,45-2011,"['', 'Examine, weigh, and measure commodities, such as poultry, eggs, meat, or seafood to certify qualities, grades, and weights.', 'Compare product recipes with government-approved formulas or recipes to determine acceptability.', 'Inspect agricultural commodities or related operations, as well as fish or logging operations, for compliance with laws and regulations governing health, quality, and safety.', 'Set labeling standards and approve labels for meat or poultry products.', 'Inspect or test horticultural products or livestock to detect harmful diseases, chemical residues, or infestations and to determine the quality of products or animals.', 'Occupation-Specific Information', 'Monitor the grading performed by company employees to verify conformance to standards.', 'Provide consultative services in areas such as equipment or product evaluation, plant construction or layout, or food safety systems.', 'Verify that transportation and handling procedures meet regulatory requirements.', 'Inspect food products and processing procedures to determine whether products are safe to eat.', 'Collect samples from animals, plants, or products and route them to laboratories for microbiological assessment, ingredient verification, or other testing.', 'Review and monitor foreign product inspection systems in countries of origin to ensure equivalence to the U.S. system.', ' 5 ofAll 22 displayed (Show allShow top 5)', 'Advise farmers or growers of development programs or new equipment or techniques to aid in quality production.', 'Direct or monitor the quarantine and treatment or destruction of plants or plant products.', 'Set standards for the production of meat or poultry products or for food ingredients, additives, or compounds used to prepare or package products.', 'Inspect the cleanliness and practices of establishment employees.', 'Tasks', 'Inquire about pesticides or chemicals to which animals may have been exposed.', 'Interpret and enforce government acts and regulations and explain required standards to agricultural workers.', 'Monitor the operations and sanitary conditions of slaughtering or meat processing plants.', 'Testify in legal proceedings.', 'Take emergency actions, such as closing production facilities, if product safety is compromised.', 'Label and seal graded products and issue official grading certificates.', 'Write reports of findings and recommendations and advise farmers, growers, or processors of corrective action to be taken.']"
25-1041.00,25-1041,"['', ' 5 ofAll 23 displayed (Show allShow top 5)', 'Supervise undergraduate or graduate teaching, internship, and research work.', 'Provide professional consulting services to government or industry.', 'Collaborate with colleagues to address teaching and research issues.', 'Evaluate and grade students' class work, laboratory work, assignments, and papers.', 'Act as advisers to student organizations.', 'Occupation-Specific Information', 'Advise students on academic and vocational curricula and on career issues.', 'Compile bibliographies of specialized materials for outside reading assignments.', 'Compile, administer, and grade examinations, or assign this work to others.', 'Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.', 'Select and obtain materials and supplies, such as textbooks and laboratory equipment.', 'Write grant proposals to procure external research funding.', 'Initiate, facilitate, and moderate classroom discussions.', 'Supervise laboratory sessions and field work and coordinate laboratory operations.', 'Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.', 'Maintain student attendance records, grades, and other required records.', 'Perform administrative duties, such as serving as department head.', 'Maintain regularly scheduled office hours to advise and assist students.', 'Tasks', 'Participate in campus and community events.', 'Participate in student recruitment, registration, and placement activities.', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.', 'Prepare course materials, such as syllabi, homework assignments, and handouts.', 'Prepare and deliver lectures to undergraduate or graduate students on topics such as crop production, plant genetics, and soil chemistry.', 'Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.']"
